"","Taxa","Mean","SD","Int","Agr","Urb","Agr_se","Urb_se","Agr_p","Urb_p","Time","form","adjusted_p_agr","adjusted_p_urb","ratio_mean_agr","log_ratio_mean_agr","ratio_propoagated_se_agr","ratio_mean_urb","log_ratio_mean_urb","ratio_propoagated_se_urb"
"1","Panurginus",7.11457581444589,58.0630651718391,-3.3212629784596,1.81724670294233,NA,1.36914353654788,NA,0.185148721405441,NA,34.2677211761475,1,0.298626970008775,NA,6.15488886205129,0.789220215344732,2.10075732183097,NA,NA,NA
"2","Amegilla",7.11457581444589,58.0630651718391,2.58474311314183,-1.93034060465517,0.940315191386792,0.919597683027357,0.841793011184801,0.0364713433656449,0.264689252011719,33.7089819908142,1,0.0958108504898625,0.661723130029296,0.145098768750008,-0.838336272795526,1.12708140223744,2.5607884295975,0.408373698869084,1.07515126174929
"3","Lipotriches",7.11457581444589,58.0630651718391,1.22530602154877,-0.162478653234593,NA,0.50636220764161,NA,0.748603431756594,NA,3.94436597824097,1,0.796386629528291,NA,0.850034235513139,-0.0705635825268558,1.05246299345213,NA,NA,NA
"4","Melitta",7.11457581444589,58.0630651718391,-2.02003991876126,-1.98154008786647,NA,0.984088276368332,NA,0.0443695376181257,NA,4.72461768388748,1,0.0987071580500738,NA,0.137856762210936,-0.860571925830492,1.25091166066703,NA,NA,NA
"5","Anthidium",7.11457581444589,58.0630651718391,-1.08554042998872,-2.64095466257002,0.716504287939795,0.627190513310763,0.342235890786193,2.77510891641963e-05,0.0365479671925417,46.881334066391,1,0.000346888614552454,0.213196475289827,0.0712931761316846,-1.14695203691083,0.966886824702534,2.04726404166838,0.311173858512272,0.739209880595684
"6","Panurgus",7.11457581444589,58.0630651718391,-1.61588432709971,-0.600696554244425,0.828801751975041,1.12745167583481,0.608452274200664,0.594375253989877,0.173662476490249,4.07444071769714,1,0.707589588083186,0.552562425196248,0.548429492126967,-0.260879198806651,1.60010350035253,2.29057242132728,0.359944027474508,1.15639283356015
"7","Svastra",7.11457581444589,58.0630651718391,-0.90580817901486,-0.195115949448928,-0.285848263400236,0.898663298422471,0.366954671565373,0.828281607124252,0.43668212169993,5.67307114601135,1,0.845185313392094,0.850229071026863,0.822739256361852,-0.0847377801769832,1.52922608737049,0.751376618630731,-0.12414232345635,1.18991886420688
"8","Stelis",7.11457581444589,58.0630651718391,-1.62788279521414,-0.876076648877103,-0.758664964286363,0.546665168784064,0.517850775264966,0.109412188658104,0.143297527586101,40.1572079658508,1,0.203594739137895,0.501541346551355,0.416413447173987,-0.380475254331618,0.8538835132925,0.468291195343261,-0.329484007602895,0.871984631966029
"9","Nomia",7.11457581444589,58.0630651718391,0.0514857731459588,-0.598904103005974,0.282413481330217,0.768365322907943,1.21119206245352,0.436424977065369,0.815813681006308,8.9695930480957,1,0.56440752695588,0.921079962426477,0.549413406795433,-0.260100747124711,1.8182945986174,1.32632701808321,0.1226506165568,2.28387112034378
"10","Calliopsis",7.11457581444589,58.0630651718391,-1.99292889937165,-1.38633552767852,-0.113526039320017,0.628739873539811,0.577209507404864,0.0279724013549871,0.84416772186905,20.2548639774323,1,0.0874137542343348,0.923308445794274,0.249989708572176,-0.602077869737213,1.0110682506491,0.892680951303578,-0.0493037324290152,0.968947227686966
